condition,label,seed,initial_frequency,selected_frequency,search_epoch_equivalents,selected_path_epochs,total_duration_seconds,run_dir,dataset,architecture,activation,parameter_count,best_validation_accuracy,test_accuracy,final_test_accuracy,device,runtime,epochs_completed,global_step,best_validation_epoch,initial_validation_accuracy,final_validation_accuracy,test_model_selection,test_loss,final_test_loss,duration_seconds,final_frequency_min,final_frequency_mean,final_frequency_max,warmup_frequency_mean,selected_generation
gelu,GELU,42,,,0,120,3457.0835087000005,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\01_activation-gelu_repeat-1,cifar10,standard,gelu,550570,0.9008,0.8982,0.8982,,,,,,,,,,,,,,,,
periodic_gelu,Periodic GELU,42,,,0,120,6664.3474074999995,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\02_activation-gelu_sine_triangle_repeat-1,cifar10,standard,gelu_sine_triangle,550591,0.9064,0.8914,0.8951,,,,,,,,,,,,,,,,
gelu,GELU,43,,,0,120,3439.2583577000005,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\01_activation-gelu_repeat-2,cifar10,standard,gelu,550570,0.905,0.8921,0.8923,,,,,,,,,,,,,,,,
periodic_gelu,Periodic GELU,43,,,0,120,6677.0312641,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\02_activation-gelu_sine_triangle_repeat-2,cifar10,standard,gelu_sine_triangle,550591,0.906,0.8956,0.8955,,,,,,,,,,,,,,,,
gelu,GELU,44,,,0,120,3439.8862904000016,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\01_activation-gelu_repeat-3,cifar10,standard,gelu,550570,0.9044,0.894,0.8946,,,,,,,,,,,,,,,,
periodic_gelu,Periodic GELU,44,,,0,120,6675.497120800002,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\02_activation-gelu_sine_triangle_repeat-3,cifar10,standard,gelu_sine_triangle,550591,0.9042,0.8975,0.897,,,,,,,,,,,,,,,,
direct_peuaf,Direct PEUAF,42,0.5,0.5,0,120,7372.633118900005,runs\benchmarks\publication\peuaf_cifar10_full_120epoch_20260614_135816\runs\direct_peuaf\seed-42_direct_peuaf,cifar10,standard,peuaf,550577,0.882,0.8754,0.8767,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",120,42240,105,,0.8802,best_validation,0.42213016115427016,0.4192547868847847,7369.2438798,0.002703276928514242,0.3292745726316103,0.8146852254867554,,
evolved_peuaf,Evolved PEUAF,42,0.5,0.77,40,120,9554.858339700004,runs\benchmarks\publication\peuaf_cifar10_full_120epoch_20260614_135816\runs\evolved_peuaf\seed-42_evolved_peuaf_20260614_160109\selected_full_training,cifar10,standard,peuaf,550577,0.8826,0.8717,0.8714,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",115,40480,105,0.7672,0.8824,best_validation,0.40901501531600953,0.4099725591659546,7135.653451800004,0.15054908394813538,0.37733530359608786,0.6276064515113831,0.7133081981113979,1
direct_peuaf,Direct PEUAF,43,0.5,0.5,0,120,7027.644784600008,runs\benchmarks\publication\peuaf_cifar10_full_120epoch_20260614_135816\runs\direct_peuaf\seed-43_direct_peuaf,cifar10,standard,peuaf,550577,0.8846,0.8758,0.8777,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",120,42240,103,,0.8822,best_validation,0.408897234582901,0.4071937161445618,7025.849293700005,0.002685870975255966,0.3340530289070947,0.8908393383026123,,
evolved_peuaf,Evolved PEUAF,43,0.5,0.77,40,120,9534.70512639999,runs\benchmarks\publication\peuaf_cifar10_full_120epoch_20260614_135816\runs\evolved_peuaf\seed-43_evolved_peuaf_20260614_203731\selected_full_training,cifar10,standard,peuaf,550577,0.8826,0.8693,0.8715,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",115,40480,103,0.7692,0.8814,best_validation,0.41488075575828554,0.4112681782245636,7124.168189599994,0.15237723290920258,0.3777006353650774,0.7665254473686218,0.7178489310400826,1
direct_peuaf,Direct PEUAF,44,0.5,0.5,0,120,7599.858859300002,runs\benchmarks\publication\peuaf_cifar10_full_120epoch_20260614_135816\runs\direct_peuaf\seed-44_direct_peuaf,cifar10,standard,peuaf,550577,0.888,0.8758,0.8789,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",120,42240,103,,0.8872,best_validation,0.4130737497806549,0.4106054286003113,7598.065163800013,0.002067148918285966,0.323603267947744,0.8661679029464722,,
evolved_peuaf,Evolved PEUAF,44,0.5,0.77,40,120,9928.24082240001,runs\benchmarks\publication\peuaf_cifar10_full_120epoch_20260614_135816\runs\evolved_peuaf\seed-44_evolved_peuaf_20260615_012306\selected_full_training,cifar10,standard,peuaf,550577,0.8742,0.8651,0.8641,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",115,40480,101,0.7694,0.8716,best_validation,0.4262217538833618,0.4281974739074707,7392.625468500002,0.15162311494350433,0.370302038533347,0.7930349111557007,0.7087062852723258,1
